project,new events,unique new events,new events in fragment,unique new events in fragment,new traces,unique new traces,new traces with events in fragment,unique new traces with events in fragment,new violations,new unique violation,new violations in fragment,new unique violation in fragment
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-NarUtil-L111_L119,207,52,111,2,33,9,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-NarUtil-L224_L232,102,6,0,0,5,5,0,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-OS390CCompiler-L114_L125,387,15,10,4,11,9,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-OS390Linker-L128_L134,1581,38,104,3,33,9,2,2,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-TargetHistoryTable-L273_L313,1402,15,3,1,8,8,1,1,3,1,3,1
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-TargetHistoryTable-L353_L357,8,8,3,1,8,8,1,1,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-TargetMatcher-L78_L118,2303,10,0,0,7,7,0,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-XpidlCompiler-L119_L133,1149,109,104,1,82,8,1,1,0,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L2895_L2921,2687,20,14,1,18,7,1,1,0,0,0,0
monkeymq-jgossip-4bfc8e791381f70d62ea4ad6d8ae952da840dd0d-GossipSettings-L68_L74,2022,8,2,1,7,6,1,1,0,0,0,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-IncludeNode-L95_L102,92,19,12,3,17,13,3,3,0,0,0,0
narupley-not-going-to-be-commons-ssl-346bb4e8481316687a643219800a398ecd8f62a8-TrustChain-L74_L105,10031,123,70,5,74,40,3,3,0,0,0,0
Neop-mudmap2-070650853bc37663525f0d62fb54a029e364eafd-WorldFileJSON-L230_L368,4045,19,0,0,9,9,0,0,0,0,0,0
Neop-mudmap2-070650853bc37663525f0d62fb54a029e364eafd-WorldFileJSON-L279_L376,19,5,0,0,5,5,0,0,0,0,0,0
nothingax-micro-DB-1bbae368f7670f94130606fa65bcbc8ccbb89b98-BPTreeTableFile-L1086_L1108,1604,21,0,0,16,12,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-AbstractContainerSupportUtil-L108_L112,14,5,12,1,4,4,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-AbstractContainerSupportUtil-L85_L92,14,5,12,1,4,4,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1055_L1074,7414,724,3287,2,388,23,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1055_L1075,1870,205,256,3,125,16,3,3,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1128_L1157,212,79,211,3,79,8,3,3,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1128_L1187,738,112,319,2,112,10,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1138_L1187,2131,125,280,7,87,24,7,7,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1241_L1258,13,9,6,1,9,9,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1314_L1328,8,5,0,0,5,5,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1364_L1376,69,64,59,46,16,12,5,4,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1366_L1375,110,25,19,2,17,10,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1386_L1399,48,15,10,6,12,12,6,6,3,2,3,2
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1686_L1715,0,0,0,0,0,0,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1911_L1920,139,70,138,2,70,7,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L1911_L1926,199,100,198,2,100,7,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2003_L2015,234,52,234,2,52,4,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2165_L2201,0,0,0,0,0,0,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2165_L2208,42,29,36,6,17,11,3,3,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2169_L2208,5,5,0,0,5,5,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2240_L2291,42,17,12,4,14,10,4,4,2,1,2,1
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2454_L2460,0,0,0,0,0,0,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L2560_L2569,2034,37,31,4,28,11,3,3,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L3499_L3662,531,14,9,1,10,9,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L3708_L3753,8947,35,29,5,34,10,5,5,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L3768_L3846,8886,41,2477,5,32,14,5,5,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L3768_L3866,2794,85,80,9,70,18,9,9,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L3775_L3866,3173,39,33,4,35,10,4,4,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L3925_L3936,1113,41,92,3,20,12,2,2,6,2,6,2
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L3948_L4321,5,5,0,0,5,5,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L3959_L4321,52,33,27,2,24,10,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L4035_L4321,1081,38,36,2,25,11,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L4492_L4509,53,34,34,2,22,10,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L4492_L4513,83,52,50,4,30,12,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L4495_L4513,34,13,8,2,9,7,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L4636_L4656,10,5,0,0,5,5,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L5006_L5037,551,123,117,4,85,11,3,3,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L5124_L5154,89,5,0,0,5,5,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L5310_L5318,44,12,6,1,7,7,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L5484_L5497,21,5,0,0,5,5,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L5512_L5525,10,5,0,0,5,5,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L5576_L5604,81,5,0,0,5,5,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-InstallFeatureUtil-L1102_L1109,4,4,3,2,4,3,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-InstallFeatureUtil-L1171_L1209,6144,282,5023,15,215,20,15,5,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-InstallFeatureUtil-L160_L193,2,2,0,0,2,2,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-InstallFeatureUtil-L350_L356,13483,31,24,2,6,6,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-InstallFeatureUtil-L545_L561,1499,42,48,2,39,11,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-InstallFeatureUtil-L613_L646,11,11,10,1,11,2,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-InstallFeatureUtil-L823_L831,4006,84,78,7,7,7,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-InstallFeatureUtil-L834_L857,1572,32,38,3,23,11,3,3,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-ServerConfigDocument-L309_L318,2948,80,247,4,96,14,3,3,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-ServerConfigDocument-L446_L457,48,45,43,1,45,7,1,1,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-ServerFeatureUtil-L376_L395,18374,22,22,2,10,8,2,2,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-ServerFeatureUtil-L428_L473,4177,86,73,1,71,23,1,1,2,1,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-ServerFeatureUtil-L481_L487,7,5,0,0,5,5,0,0,0,0,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-ServerFeatureUtil-L637_L647,8,7,1,1,7,7,1,1,0,0,0,0
OWASP-json-sanitizer-fc612ab374de73d03864d56fb87b6a103b234489-EvalMinifier-L73_L213,692,34,30,2,7,7,1,1,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-ConnUrlParser-L276_L302,22972,679,12426,11,356,28,7,7,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-ConnUrlParser-L282_L298,3604,64,57,5,52,13,5,5,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-ConnUrlParser-L366_L383,254,5,0,0,5,5,0,0,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-ConnUrlParser-L400_L421,655,6,0,0,5,5,0,0,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-DiscovererImpl-L148_L169,365,78,180,2,77,9,2,2,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-LoadBalancingDriver-L372_L381,417,48,54,3,39,11,3,3,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-StringUtils-L116_L120,0,0,0,0,0,0,0,0,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-WeightRandomShuffleUrlMapper-L62_L69,343,132,191,2,91,17,2,2,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-ColorSpaceBuilder-L100_L112,51,27,37,3,27,12,3,3,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-ColorSpaceBuilder-L115_L124,311,110,169,3,60,13,3,3,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-ColorSpaceBuilder-L42_L83,13267,316,6436,7,210,29,7,7,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-ColorSpaceBuilder-L63_L83,2004,168,224,4,115,22,4,4,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-DrawingContext-L64_L85,6006,31,0,0,17,17,0,0,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-DrawingContext-L91_L112,217,5,0,0,5,5,0,0,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Effects-L281_L283,21,21,21,2,1,1,1,1,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-ExpressionParser-L159_L465,712,8,2,1,7,6,1,1,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-FlointTree-L73_L84,250,175,250,9,175,13,9,9,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-LightBuilder-L251_L282,2720,256,315,7,180,25,7,7,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-LightBuilder-L254_L280,3013,263,298,5,181,27,5,5,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Model-L184_L191,235,58,88,4,38,19,4,4,1,1,1,1
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Model-L346_L410,1479,21,31,2,45,11,2,2,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Model-L351_L410,1618,159,177,2,107,13,2,2,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Parser-L137_L253,3560,193,226,5,142,16,4,4,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-PluginLoader-L39_L107,16,7,0,0,7,7,0,0,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Prob-L351_L362,54,54,54,2,2,2,1,1,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-RuleWriter-L120_L149,778,42,35,1,41,9,1,1,17,1,17,1
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-RuleWriter-L283_L295,19,11,4,2,10,10,2,2,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-RuleWriter-L423_L452,8956,430,461,4,265,23,4,4,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-RuleWriter-L502_L505,6,6,1,1,6,6,1,1,1,1,1,1
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-SvgImport-L105_L112,202,88,202,2,88,4,2,2,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-SvgImport-L282_L334,193,17,11,2,16,8,2,2,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-SvgImport-L282_L336,90,13,8,1,13,7,1,1,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Transform-L454_L525,353,96,248,2,34,21,6,6,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Transform-L540_L549,1332,157,184,9,99,30,8,8,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-UtBuilder-L111_L140,3263,12,4,1,16,8,1,1,0,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-UtBuilder-L94_L98,1214,9,0,0,81,7,0,0,0,0,0,0
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-RgxOpManager-L200_L223,161,5,0,0,5,5,0,0,0,0,0,0
sbesada-java.math.expression.parser-cc92f58f6074b21cf6f5d4056b7f7cc5168f50af-Parser-L215_L226,11362,46,25,4,58,21,4,4,0,0,0,0
seansegal-tincisnotcatan-f7d098c51037cb586147c1bbd5b18c2239df7b32-CatanAPI-L120_L124,0,0,0,0,0,0,0,0,0,0,0,0
seansegal-tincisnotcatan-f7d098c51037cb586147c1bbd5b18c2239df7b32-Path-L88_L120,751,7,14,1,13,7,6,2,0,0,0,0
seansegal-tincisnotcatan-f7d098c51037cb586147c1bbd5b18c2239df7b32-Tile-L280_L292,669,136,168,3,78,14,2,2,0,0,0,0
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-EntityDaoImpl-L157_L169,1466,109,104,6,64,22,6,6,0,0,0,0
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-EntityDaoImpl-L382_L405,299,74,105,9,41,18,7,7,0,0,0,0
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-EntityDaoImpl-L431_L497,934,125,214,11,54,20,7,7,0,0,0,0
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-EntityDaoImpl-L444_L490,210,5,0,0,5,5,0,0,0,0,0,0
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-EntityTools-L36_L54,93,44,58,24,31,17,13,9,0,0,0,0
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-SqlMakeTools-L452_L545,821,52,66,17,42,25,18,13,0,0,0,0
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-SqlMakeTools-L452_L565,1578,52,33,25,38,23,25,14,0,0,0,0
sranka-jdbcimage-4b16de3a349a30e5d69633a0fea6e08d486392b9-ChunkedReader-L101_L110,361,247,228,11,98,34,9,7,0,0,0,0
StarlangSoftware-Corpus-c0b50a746e5179df1b236273bcf1ec6d1cc988c7-SentenceSplitter-L77_L84,0,0,0,0,0,0,0,0,0,0,0,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmMorphologicalAnalyzer-L168_L209,12545687,44,19,3,55,16,1,1,33,2,1,1
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmMorphologicalAnalyzer-L400_L573,320,10,0,0,6,6,0,0,0,0,0,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmMorphologicalAnalyzer-L740_L751,3814,73,51,3,115,17,3,3,0,0,0,0
StarlangSoftware-TurkishMorphologicalDisambiguation-bf8dbc2cd835c67178eb896939ad1009b6743486-HmmDisambiguation-L135_L142,4327,9,1,1,7,7,1,1,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-Clock-L241_L251,24,5,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeBuilder-L273_L282,241,23,68,2,23,11,2,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeBuilder-L577_L595,273,25,92,2,25,12,2,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeBuilder-L579_L594,814,23,0,0,24,14,0,0,24,3,18,1
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeBuilder-L603_L611,123,5,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeBuilder-L618_L625,228,5,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L2037_L2041,63,11,3,3,10,9,3,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L2360_L2390,317,19,13,9,18,8,9,3,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L2360_L2394,362,27,21,19,26,12,19,7,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L2561_L2566,12,6,12,1,6,3,1,1,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L2703_L2721,226,12,6,6,11,9,6,4,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L2938_L2994,232,29,216,1,29,14,1,1,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L3095_L3119,83,49,44,33,40,11,32,5,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L3414_L3433,34534,7,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L3415_L3425,763,6,0,0,5,5,0,0,2,2,2,2
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatter-L1554_L1559,1340,17,27,2,15,9,2,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatter-L1581_L1592,101,7,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimePrintContext-L128_L158,855,20,50,2,20,11,2,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-Duration-L1299_L1331,129,77,71,37,58,23,36,14,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-HijrahDate-L1236_L1258,0,0,0,0,0,0,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-HijrahDate-L1687_L1755,323,94,252,4,100,16,4,4,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-Instant-L681_L687,53,10,5,2,10,7,2,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-LocalDate-L382_L386,31,5,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-LocalTime-L623_L640,92,20,30,2,20,11,2,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-LocalTime-L913_L919,56,5,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-Period-L214_L234,248,80,128,3,66,22,3,3,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-SimpleDateTimeTextProvider-L392_L396,225,5,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-StandardZoneRules-L133_L143,1617,7,1,1,6,6,1,1,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-StandardZoneRules-L189_L195,40,5,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-TzdbZoneRulesCompiler-L115_L202,5,2,5,1,2,2,1,1,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-TzdbZoneRulesCompiler-L174_L188,0,0,0,0,0,0,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-TzdbZoneRulesCompiler-L399_L432,3277,198,266,8,132,33,8,8,3,1,3,1
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-TzdbZoneRulesCompiler-L767_L797,2550,19,12,2,17,7,2,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-TzdbZoneRulesProvider-L234_L241,160,11,3,2,8,7,2,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneId-L334_L357,90,64,0,0,10,10,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneId-L380_L386,100,64,0,0,10,10,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneOffset-L192_L226,202,20,35,1,87,11,1,1,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneOffset-L243_L250,435,8,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneOffset-L338_L360,0,0,0,0,0,0,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneOffset-L427_L433,61,33,27,27,32,7,27,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneOffset-L427_L434,61,33,27,27,32,7,27,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneOffsetTransitionRule-L508_L511,20,13,8,8,13,7,8,2,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneRegion-L102_L122,82,25,30,1,29,13,1,1,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneRulesBuilder-L525_L530,500,6,0,0,5,5,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-ZoneRulesProvider-L164_L167,2959,7,0,0,4,4,0,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass-L247_L251,532,198,532,3,198,9,3,3,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass-L751_L758,105,6,0,0,30,6,0,0,0,0,0,0
